Study Identifier,Comments,Intervention,Intervention Name,Intervention Type,Adverse drug reaction Endpoint %,Adverse drug reaction Endpoint N, Adverse effects - physician-rated with the DOTES Endpoint %, Adverse effects - physician-rated with the DOTES Endpoint N,Adverse events Endpoint %,Adverse events Endpoint N,Adverse Events 3 months [Acute phase post-intervention] %,Adverse Events 3 months [Acute phase post-intervention] N,Adverse Events 6 months [Continuation phase post-intervention] %,Adverse Events 6 months [Continuation phase post-intervention] N,Adverse Events At least one adverse event of at least moderate intensity %,Adverse Events At least one adverse event of at least moderate intensity N,Adverse Events Ednpoint %,Adverse Events Ednpoint N,Adverse Events Endpoint %,Adverse Events Endpoint N,Adverse Events Endpoint (completer analysis n=74) %,Adverse Events Endpoint (completer analysis n=74) N,Adverse Events Endpoint (N discontinued treatment due to adverse events) %,Adverse Events Endpoint (N discontinued treatment due to adverse events) N,"Adverse Events Endpoint (no tabulation, just given in a figure) %","Adverse Events Endpoint (no tabulation, just given in a figure) N",Adverse Events No AEs %,Adverse Events No AEs N,Adverse Events Patient drop-out due to adverse event %,Adverse Events Patient drop-out due to adverse event N,Adverse events (moderate to severe side-effects) Endpoint %,Adverse events (moderate to severe side-effects) Endpoint N
Allen 2017,"This is STUDY 1.
A mixed-effects
model for repeated-measures (MMRM) analysis was
also conducted on change from baseline in NRS scores
in week 15, with baseline, treatment, week, site, and the
treatment-by-week interaction in the model.",Desvenlafaxine  - 50mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,90,123,,,,,,,,,,,,
Allen 2017,"This is STUDY 1.
A mixed-effects
model for repeated-measures (MMRM) analysis was
also conducted on change from baseline in NRS scores
in week 15, with baseline, treatment, week, site, and the
treatment-by-week interaction in the model.",Desvenlafaxine  - 100mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,88,122,,,,,,,,,,,,
Allen 2017,"This is STUDY 1.
A mixed-effects
model for repeated-measures (MMRM) analysis was
also conducted on change from baseline in NRS scores
in week 15, with baseline, treatment, week, site, and the
treatment-by-week interaction in the model.",Desvenlafaxine  - 200mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,86,122,,,,,,,,,,,,
Allen 2017,"This is STUDY 1.
A mixed-effects
model for repeated-measures (MMRM) analysis was
also conducted on change from baseline in NRS scores
in week 15, with baseline, treatment, week, site, and the
treatment-by-week interaction in the model.",Desvenlafaxine  - 400mg,Desvenlafaxine,Antidepressant,,,,,,,,,,,,,,,91,136,,,,,,,,,,,,
Vahedi 2005,Title: The effect of fluoxetine in patients with pain and constipation-predominant irritable bowel syndrome: a double-blind randomized-controlled study,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vahedi 2005,Title: The effect of fluoxetine in patients with pain and constipation-predominant irritable bowel syndrome: a double-blind randomized-controlled study,Fluoxetine - 20mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nct 2003,"Title: Comparison of Psychological and Pharmacological Treatments for Pain Due to Temporomandibular Joint Disorder (TMD). Not published, this is all extracted the trial registry. https://clinicaltrials.gov/ct2/show/NCT00066937.",Benztropine + CBT,Benztropine + cognitive behavioural therapy,Active placebo + psychological therapy,,,,,,,,,,,,,,,63.16,24,,,,,,,,,,,,
Nct 2003,"Title: Comparison of Psychological and Pharmacological Treatments for Pain Due to Temporomandibular Joint Disorder (TMD). Not published, this is all extracted the trial registry. https://clinicaltrials.gov/ct2/show/NCT00066937.",Nortriptyline + CBT,Nortriptyline + cognitive behavioural therapy,Antidepressant + psychological therapy,,,,,,,,,,,,,,,78.05,32,,,,,,,,,,,,
Nct 2003,"Title: Comparison of Psychological and Pharmacological Treatments for Pain Due to Temporomandibular Joint Disorder (TMD). Not published, this is all extracted the trial registry. https://clinicaltrials.gov/ct2/show/NCT00066937.",Benztropine + MGT,Benztropine + disease management,Active placebo + disease management ,,,,,,,,,,,,,,,62.5,15,,,,,,,,,,,,
Nct 2003,"Title: Comparison of Psychological and Pharmacological Treatments for Pain Due to Temporomandibular Joint Disorder (TMD). Not published, this is all extracted the trial registry. https://clinicaltrials.gov/ct2/show/NCT00066937.",Nortriptyline + MGT,Nortriptyline + disease management,Antidepressant + disease management,,,,,,,,,,,,,,,56.76,21,,,,,,,,,,,,
Nct 2010,Title: Effect of Milnacipran in Chronic Neuropathic Low Back Pain,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,50,10,,,,,,,,,,,,
Nct 2010,Title: Effect of Milnacipran in Chronic Neuropathic Low Back Pain,Milnacipran - 100-200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,70,14,,,,,,,,,,,,
Kayiran 2010,"Title: Neurofeedback intervention in fibromyalgia syndrome; a randomized, controlled, rater blind clinical trial",Neurofeedback,NA,Neurofeedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kayiran 2010,"Title: Neurofeedback intervention in fibromyalgia syndrome; a randomized, controlled, rater blind clinical trial",Escitalopram - 10mg,Escitalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammody 2015,Title: Pregabalin Versus Amitriptyline in the Treatment of Fibromyalgia Patients (A Double Blind Comparative Study),Pregabalin - 75mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammody 2015,Title: Pregabalin Versus Amitriptyline in the Treatment of Fibromyalgia Patients (A Double Blind Comparative Study),Amitriptyline - 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2011,Title: Adjuvant use of melatonin for treatment of fibromyalgia,Melatonin - 5mg + Placebo,Melatonin,Hormone + Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2011,Title: Adjuvant use of melatonin for treatment of fibromyalgia,Fluoxetine - 20mg + Placebo,Fluoxetine,Antidepressant + Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2011,Title: Adjuvant use of melatonin for treatment of fibromyalgia,Fluoxetine - 20mg + Melatonin - 3mg,Fluoxetine,Antidepressant + Hormone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussain 2011,Title: Adjuvant use of melatonin for treatment of fibromyalgia,Fluoxetine - 20mg + Melatonin - 5mg,Fluoxetine,Antidepressant + Hormone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani 1996,Title: An evaluation of antidepressants in rheumatic pain conditions,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani 1996,Title: An evaluation of antidepressants in rheumatic pain conditions,Fluoxetine - 20mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani 1996,Title: An evaluation of antidepressants in rheumatic pain conditions,Amitriptyline - 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinhoven 2010,Title: Heart-focused anxiety as a mediating variable in the treatment of noncardiac chest pain by cognitive-behavioral therapy and paroxetine,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinhoven 2010,Title: Heart-focused anxiety as a mediating variable in the treatment of noncardiac chest pain by cognitive-behavioral therapy and paroxetine,Paroxetine - 10-40mg,Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinhoven 2010,Title: Heart-focused anxiety as a mediating variable in the treatment of noncardiac chest pain by cognitive-behavioral therapy and paroxetine,CBT,Cognitive Behavioural Therapy,Psychological therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanOphoven 2004,"Title: A prospective, randomized, placebo controlled, double-blind study of amitriptyline for the treatment of interstitial cystitis",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vanOphoven 2004,"Title: A prospective, randomized, placebo controlled, double-blind study of amitriptyline for the treatment of interstitial cystitis",Amitriptyline - <100mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Amitriptyline 75mg (people with diabetes),Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Amitriptyline 75mg (people without diabetes),Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Maprotiline 75mg (people with diabetes),Maprotiline ,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Maprotiline 75mg (people without diabetes),Maprotiline ,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Placebo (people with diabetes),Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vrethem 1997,Title: A comparison of amitriptyline and maprotiline in the treatment of painful polyneuropathy in diabetics and nondiabetics,Placebo (people without diabetes),Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetreault 2018,Title: Brain Connectivity Predicts Placebo Response across Chronic Pain Clinical Trials,Placebo,NA,Placebo,,,,,,,,,,,,,,,30,6,,,,,,,,,,,,
Tetreault 2018,Title: Brain Connectivity Predicts Placebo Response across Chronic Pain Clinical Trials,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,31.6,6,,,,,,,,,,,,
SarziPuttini 1988,Title: A comparison of dothiepin versus placebo in the treatment of pain in rheumatoid arthritis and the association of pain with depression,Placebo,NA,Placebo + Ibuprofen 1800mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SarziPuttini 1988,Title: A comparison of dothiepin versus placebo in the treatment of pain in rheumatoid arthritis and the association of pain with depression,Dothiepin 75mg,Dothiepin,Antidepressant + Ibuprofen 1800mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2016,Title: Combination of pregabalin with duloxetine for fibromyalgia: a randomized controlled trial,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2016,Title: Combination of pregabalin with duloxetine for fibromyalgia: a randomized controlled trial,Pregabalin ≥450mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2016,Title: Combination of pregabalin with duloxetine for fibromyalgia: a randomized controlled trial,Duloxetine ≥120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilron 2016,Title: Combination of pregabalin with duloxetine for fibromyalgia: a randomized controlled trial,Pregabalin ≥450mg + Duloxetine ≥120mg,Pregabalin and Duloxetine,Anticonvulsant + Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowbotham 2005,"Title: Treatment response in antidepressant-naïve postherpetic neuralgia patients: double-blind, randomized trial",Desipramine - 25-150mg,Desipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowbotham 2005,"Title: Treatment response in antidepressant-naïve postherpetic neuralgia patients: double-blind, randomized trial",Amitriptyline - 25-150mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowbotham 2005,"Title: Treatment response in antidepressant-naïve postherpetic neuralgia patients: double-blind, randomized trial",Fluoxetine - 10-60mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 2003,"Title: Venlafaxine versus imipramine in painful polyneuropathy: a randomized, controlled trial.
The study was stopped before the stipulated number of patients had completed the trial, as the study drug had expired and new supplies were not available.",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 2003,"Title: Venlafaxine versus imipramine in painful polyneuropathy: a randomized, controlled trial.
The study was stopped before the stipulated number of patients had completed the trial, as the study drug had expired and new supplies were not available.",Venlafaxine 250mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 2003,"Title: Venlafaxine versus imipramine in painful polyneuropathy: a randomized, controlled trial.
The study was stopped before the stipulated number of patients had completed the trial, as the study drug had expired and new supplies were not available.",Imipramine 150mg,Imipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanum 1996,Title: A new pharmacologic treatment of functional gastrointestinal disorder. A double-blind placebo-controlled study with mianserin,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanum 1996,Title: A new pharmacologic treatment of functional gastrointestinal disorder. A double-blind placebo-controlled study with mianserin,Mianserin - 120mg,Mianserin,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petzke 2013,Title: Using fMRI to evaluate the effects of milnacipran on central pain processing in patients with fibromyalgia,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,87,40,,,,,,,,,,,,
Petzke 2013,Title: Using fMRI to evaluate the effects of milnacipran on central pain processing in patients with fibromyalgia,Milnacipran - 200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,97.8,45,,,,,,,,,,,,
Luo 2009,Title: A randomized double-blind clinical trial on analgesic efficacy of fluoxetine for persistent somatoform pain disorder,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luo 2009,Title: A randomized double-blind clinical trial on analgesic efficacy of fluoxetine for persistent somatoform pain disorder,Fluoxetine - 20mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maarrawi 2018,Title: Randomized double-blind controlled study of bedtime low-dose amitriptyline in chronic neck pain,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Maarrawi 2018,Title: Randomized double-blind controlled study of bedtime low-dose amitriptyline in chronic neck pain,Amitriptyline - 5mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,7.14,8,,,,,,,,,,,,
Nct 2011,Title: Milnacipran for Chronic Pain in Knee Osteoarthritis. Trial registry only - no published papers,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Nct 2011,Title: Milnacipran for Chronic Pain in Knee Osteoarthritis. Trial registry only - no published papers,Milnacipran - 100mg-200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,34.62,9,,,,,,,,,,,,
Hadianfard 2012,Title: A randomized clinical trial of fibromyalgia treatment with acupuncture compared with fluoxetine,Acupuncture,Acupuncture,Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hadianfard 2012,Title: A randomized clinical trial of fibromyalgia treatment with acupuncture compared with fluoxetine,Fluoxetine - 20mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trugman 2014,"Title: Milnacipran effects on 24-hour ambulatory blood pressure and heart rate in fibromyalgia patients: a randomized, placebo-controlled, dose-escalation study",Placebo,Placebo, Placebo,,,,,,,,,,,,,,,73.9,,,,,,,,,,,,,
Trugman 2014,"Title: Milnacipran effects on 24-hour ambulatory blood pressure and heart rate in fibromyalgia patients: a randomized, placebo-controlled, dose-escalation study",Milnacipran - 100-200mg,Milnacipran,Antidepressant,,,,,,,,,,,,,,,81,,,,,,,,,,,,,
Pakfetrat 2019,Title: Evaluation of the effectiveness of crocin isolated from saffron in treatment of burning mouth syndrome: A randomized controlled trial,Crocin - 30mg,Crocin,Medicinal plant,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Pakfetrat 2019,Title: Evaluation of the effectiveness of crocin isolated from saffron in treatment of burning mouth syndrome: A randomized controlled trial,Citalopram - 20mg,Citalopram,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johansson 1979,Title: A double-blind controlled study of seratonin uptake inhibitor (Zimelidine) versus placebo in chronic pain patients,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johansson 1979,Title: A double-blind controlled study of seratonin uptake inhibitor (Zimelidine) versus placebo in chronic pain patients,Zimelidine - 200mg,Zimelidine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wernicke 2006,Title: A randomized controlled trial of duloxetine in diabetic peripheral neuropathic pain,Placebo,NA,Placebo,,,,,,,,,,,,,,,73.1,79,,,,,,,,,,,,
Wernicke 2006,Title: A randomized controlled trial of duloxetine in diabetic peripheral neuropathic pain,Duloxetine 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,89.5,102,,,,,,,,,,,,
Wernicke 2006,Title: A randomized controlled trial of duloxetine in diabetic peripheral neuropathic pain,Duloxetine 120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,85.7,96,,,,,,,,,,,,
Rowbotham 2004,"Title: Venlafaxine extended release in the treatment of painful diabetic neuropathy: a double-blind, placebo-controlled study",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,75,,,,,,,,,,,,,
Rowbotham 2004,"Title: Venlafaxine extended release in the treatment of painful diabetic neuropathy: a double-blind, placebo-controlled study",Venlafaxine - 75mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,88,,,,,,,,,,,,,
Rowbotham 2004,"Title: Venlafaxine extended release in the treatment of painful diabetic neuropathy: a double-blind, placebo-controlled study",Venlafaxine - 150-225mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,89,,,,,,,,,,,,,
Frakes 2011,"Title: Duloxetine added to oral nonsteroidal anti-inflammatory drugs for treatment of knee pain due to osteoarthritis: results of a randomized, double-blind, placebo-controlled trial",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,50,130,,,,,,,,,,,,
Frakes 2011,"Title: Duloxetine added to oral nonsteroidal anti-inflammatory drugs for treatment of knee pain due to osteoarthritis: results of a randomized, double-blind, placebo-controlled trial",Duloxetine - 60-120mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,63.3,167,,,,,,,,,,,,
Masand 2009,"Title: A double-blind, randomized, placebo-controlled trial of paroxetine controlled-release in irritable bowel syndrome",Placebo,Placebo,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masand 2009,"Title: A double-blind, randomized, placebo-controlled trial of paroxetine controlled-release in irritable bowel syndrome",Paroxetine-CR - 12.5-50mg,Paroxetine Controlled Release,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keefe 2011,Title: Effects of coping skills training and sertraline in patients with non-cardiac chest pain: a randomized controlled study,Placebo,Placebo,Placebo,,,,,,,,,,,,,,,17,,,,,,,,,,,,,
Keefe 2011,Title: Effects of coping skills training and sertraline in patients with non-cardiac chest pain: a randomized controlled study, Sertraline,Sertraline,Antidepressant,,,,,,,,,,,,,,,33,,,,,,,,,,,,,
Keefe 2011,Title: Effects of coping skills training and sertraline in patients with non-cardiac chest pain: a randomized controlled study,CST + placebo,Coping skills training + placebo,Psychological therapy + placebo,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
Keefe 2011,Title: Effects of coping skills training and sertraline in patients with non-cardiac chest pain: a randomized controlled study,CST + sertraline,Coping skills training + sertraline,Psychological therapy + antidepressant,,,,,,,,,,,,,,,26,,,,,,,,,,,,,
Smith 2013,"Title: Effect of duloxetine on pain, function, and quality of life among patients with chemotherapy-induced painful peripheral neuropathy: a randomized clinical trial. Role of the Sponsor: The NCI and Eli Lilly each reviewed and approved the study concept via the usual peer-review process. Minor suggestions were made by each group regarding aspects of the study design. Neither the NCI Division of Cancer Prevention nor Eli Lilly had a role in data collection or management, analysis, interpretation of the data, or with manuscript preparation, review, or approval.",Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith 2013,"Title: Effect of duloxetine on pain, function, and quality of life among patients with chemotherapy-induced painful peripheral neuropathy: a randomized clinical trial. Role of the Sponsor: The NCI and Eli Lilly each reviewed and approved the study concept via the usual peer-review process. Minor suggestions were made by each group regarding aspects of the study design. Neither the NCI Division of Cancer Prevention nor Eli Lilly had a role in data collection or management, analysis, interpretation of the data, or with manuscript preparation, review, or approval.",Duloxetine - 60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakerkish 2017,Title: Comparative efficacy of duloxetine versus nortriptyline in patients with diabetic peripheral neuropathic pain: A double blind randomized controlled trial,Nortriptyline - 25-75mg,Nortriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zakerkish 2017,Title: Comparative efficacy of duloxetine versus nortriptyline in patients with diabetic peripheral neuropathic pain: A double blind randomized controlled trial,Duloxetine - 30-60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Placebo,NA,Placebo,,,,,,,,,,,20,12,,,,,,,,,,,28,17,5,3,,
Agger 2017,"Title: Imipramine versus placebo for multiple functional somatic syndromes (STreSS-3): a double-blind, randomised study",Imipramine - 25-75mg,Imipramine,Antidepressant,,,,,,,,,,,55,36,,,,,,,,,,,11,7,6,4,,
Wolfe 1994,Title: A double-blind placebo controlled trial of fluoxetine in fibromyalgia,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfe 1994,Title: A double-blind placebo controlled trial of fluoxetine in fibromyalgia,Fluoxetine - 20mg,Fluoxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventafridda 1987,Title: Antidepressants for cancer pain and other painful syndromes with deafferentation component: comparison of amitriptyline and trazodone,Amitriptyline 75mg,"	Amitriptyline",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventafridda 1987,Title: Antidepressants for cancer pain and other painful syndromes with deafferentation component: comparison of amitriptyline and trazodone,Trazodone 225mg,"	Trazodone",Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max 1988,"Title: Amitriptyline, but not lorazepam, relieves postherpetic neuralgia",Placebo,NA,Placebo,,,,,,,,,,,,,,,72,,,,,,,,,,,,,
Max 1988,"Title: Amitriptyline, but not lorazepam, relieves postherpetic neuralgia",Amitriptyline (12.5-150mg),Amitriptyline,Antidepressant,,,,,,,,,,,,,,,88,,,,,,,,,,,,,
Max 1988,"Title: Amitriptyline, but not lorazepam, relieves postherpetic neuralgia",Lorazepam (0.5-6mg),Lorazepam,Benzodiazepine,,,,,,,,,,,,,,,98,,,,,,,,,,,,,
Katz 2005,"Title: A randomized, placebo-controlled trial of bupropion sustained release in chronic low back pain",Placebo,NA,Placebo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katz 2005,"Title: A randomized, placebo-controlled trial of bupropion sustained release in chronic low back pain",Bupropion SR,Bupropion,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose 2007,Title: Randomized double-blind study comparing the efficacy and safety of lamotrigine and amitriptyline in painful diabetic neuropathy,Lamotrigine 50-200mg,"	Lamotrigine ",Anticonvulsant,,,,,,,,,,,,,,,75,33,,,,,,,,,,,,
Jose 2007,Title: Randomized double-blind study comparing the efficacy and safety of lamotrigine and amitriptyline in painful diabetic neuropathy,Amitriptyline 10-50mg,"	Amitriptyline",Antidepressant,,,,,,,,,,,,,,,25,11,,,,,,,,,,,,
Kaur 2011,"Title: A comparative evaluation of amitriptyline and duloxetine in painful diabetic neuropathy: a randomized, double-blind, cross-over clinical trial",Amitriptyline 10-50mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaur 2011,"Title: A comparative evaluation of amitriptyline and duloxetine in painful diabetic neuropathy: a randomized, double-blind, cross-over clinical trial",Duloxetine 20-60mg,Duloxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbech 2015,Title: Imipramine and pregabalin combination for painful polyneuropathy: a randomized controlled trial,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbech 2015,Title: Imipramine and pregabalin combination for painful polyneuropathy: a randomized controlled trial,Pregabalin - 300mg,Pregabalin,Anticonvulsant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbech 2015,Title: Imipramine and pregabalin combination for painful polyneuropathy: a randomized controlled trial,Imipramine - 25-75mg,Imipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holbech 2015,Title: Imipramine and pregabalin combination for painful polyneuropathy: a randomized controlled trial,Combination,Imipramine + Pregabalin,Anticonvulsant + Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 1990,Title: The selective serotonin reuptake inhibitor paroxetine is effective in the treatment of diabetic neuropathy symptoms,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 1990,Title: The selective serotonin reuptake inhibitor paroxetine is effective in the treatment of diabetic neuropathy symptoms,Paroxetine,Paroxetine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindrup 1990,Title: The selective serotonin reuptake inhibitor paroxetine is effective in the treatment of diabetic neuropathy symptoms,Imipramine,Imipramine,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hameroff 1984,Title: Doxepin's effects on chronic pain and depression: a controlled study,Placebo,NA,Placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hameroff 1984,Title: Doxepin's effects on chronic pain and depression: a controlled study,Doxepin ≤300mg,Doxepin,Antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jia 2006,"Title: Effects of venlafaxine and carbamazepine for painful peripheral diabetic neuropathy: A randomized, double-blind and double-dummy, controlled multi-center trial",Venlafaxine 50mg,Venlafaxine,Antidepressant,,,,,,,,,,,,,,,43.9,29,,,,,,,,,,,,
Jia 2006,"Title: Effects of venlafaxine and carbamazepine for painful peripheral diabetic neuropathy: A randomized, double-blind and double-dummy, controlled multi-center trial",Carbamazepine 0.2mg,NA,Anticonvulsant,,,,,,,,,,,,,,,25.8,17,,,,,,,,,,,,
Pirbudak 2003,Title: Epidural corticosteroid injection and amitriptyline for the treatment of chronic low back pain associated with radiculopathy,Epidural injection + placebo,NA,Epidural injection + placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirbudak 2003,Title: Epidural corticosteroid injection and amitriptyline for the treatment of chronic low back pain associated with radiculopathy,Epidural injection + amitriptyline (10-50mg),Amitriptyline,Epidural injection + antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginsberg 1996,Title: A randomized placebo-controlled trial of sustained-release amitriptyline in primary fibromyalgia,Placebo,NA,Placebo,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,
Ginsberg 1996,Title: A randomized placebo-controlled trial of sustained-release amitriptyline in primary fibromyalgia,Amitriptyline 25mg,Amitriptyline,Antidepressant,,,,,,,,,,,,,,,29,7,,,,,,,,,,,,
Isomeri 1993,Title: Effects of amitriptyline and cardiovascular fitness training on pain in patients with primary fibromyalgia,Physiotherapy and amitriptyline 25mg (A),Amitriptyline,Physiotherapy and antidepressant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isomeri 1993,Title: Effects of amitriptyline and cardiovascular fitness training on pain in patients with primary fibromyalgia,Physical fitness training only (B),NA,Cardiovascular fitness training,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isomeri 1993,Title: Effects of amitriptyline and cardiovascular fitness training on pain in patients with primary fibromyalgia,Physical fitness training and amitriptyline 25mg (C),Amitriptyline,Cardiovascular fitness training and amitriptyline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
